Species,SpeciesID,week_1.0,week_1.5,week_2.0,week_2.5,week_3.0,week_3.5,week_4.0,week_4.5,week_5.0,week_5.5,week_6.0,week_6.5,week_7.0,week_7.5,week_8.0,week_8.5,week_9.0,week_9.5,week_10.0,week_10.5,week_11.0,week_11.5,week_12.0,week_12.5,week_13.0,week_13.5,week_14.0,week_14.5,week_15.0,week_15.5,week_16.0,week_16.5,week_17.0,week_17.5,week_18.0,week_18.5,week_19.0,week_19.5,week_20.0,week_20.5,week_21.0,week_21.5,week_22.0,week_22.5,week_23.0,week_23.5,week_24.0,week_24.5,week_25.0,week_25.5,week_26.0,week_26.5,week_27.0,week_27.5,week_28.0,week_28.5,week_29.0,week_29.5,week_30.0,week_30.5,week_31.0,week_31.5,week_32.0,week_32.5,week_33.0,week_33.5,week_34.0,week_34.5,week_35.0,week_35.5,week_36.0
PIFL,PIFL11,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,50%,50%,75%,50%,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL12,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,50%,25%,50%,50%,50%,75%,75%,75%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL13,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,75%,50%,50%,75%,75%,75%,75%,75%,90%,90%,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL14,10%,10%,10%,25%,25%,25%,10%,25%,10%,25%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,50%,75%,50%,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL15,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,50%,50%,75%,75%,50%,75%,75%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL16,25%,25%,25%,25%,50%,50%,50%,75%,50%,75%,75%,75%,75%,NA,75%,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL17,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,50%,50%,25%,50%,50%,50%,50%,50%,50%,50%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL18,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,NA,10%,10%,10%,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,NA,25%,25%,50%,50%,10%,10%,25%,25%,10%,10%,25%,25%,25%,25%,25%,25%,50%,25%,25%,25%,25%,50%,25%,50%,50%,75%,75%,75%,90%,90%,90%,90%,90%,90%,X,X,X,X,X,X
PIFL,PIFL19,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,25%,25%,10%,10%,10%,10%,10%,10%,10%,25%,10%,25%,50%,50%,75%,75%,75%,75%,75%,75%,50%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL20,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,25%,25%,25%,25%,25%,25%,50%,50%,50%,75%,50%,75%,50%,75%,90%,90%,90%,90%
PIFL,PIFL21,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,25%,25%,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,50%,50%,50%,75%,75%,75%,75%,75%,75%,75%,75%,X,X,X,X,X,X
PIFL,PIFL22,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,25%,50%,50%,50%,75%,50%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL23,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,50%,50%,50%,75%,50%,50%,75%,75%,50%,75%,75%,75%,90%,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL24,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,50%,50%,25%,50%,50%,50%,50%,50%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL25,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,25%,50%,25%,25%,25%,25%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,50%,25%,25%,50%,50%,75%,75%,75%,90%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X
PIFL,PIFL26,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL27,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL28,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,NA,50%,50%,50%,75%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%
PIFL,PIFL29,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,50%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,10%,25%,10%,10%,10%,10%,10%,25%,10%,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL30,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
PIFL,PIFL31,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,50%,50%,25%,50%,50%,75%,75%,90%,75%,90%,90%,90%,X,X,X,X
PIFL,PIFL32,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,10%,25%,25%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,25%,50%,50%,50%,50%,50%,75%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL33,10%,25%,10%,10%,25%,25%,25%,25%,10%,25%,25%,10%,10%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,NA,10%,10%,10%,50%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,50%,50%,75%,50%,75%,75%,50%,75%,75%,75%,75%,75%,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PIFL,PIFL34,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,NA,10%,10%,10%,25%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,25%,25%,25%,25%,25%,10%,25%,25%,25%,25%,25%,25%,25%,50%,50%,75%,75%,75%,75%,75%,50%,75%,75%,X,X
PIFL,PIFL35,10%,10%,25%,25%,25%,25%,25%,25%,10%,25%,25%,10%,10%,NA,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,10%,25%,25%,25%,10%,NA,10%,10%,10%,10%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,10%,25%,25%,25%,50%,50%,50%,50%,75%,75%,75%,90%,90%,90%,90%,X,X,X,X,X,X,X,X,X,X
