Phase,Chamber,Kestrel,Heatwave,Time,Temperature_avg
1,1,1,no,0000,22.11
1,1,1,no,0030,21.8313333333333
1,1,1,no,0100,21.7093333333333
1,1,1,no,0130,21.6726666666667
1,1,1,no,0200,21.636
1,1,1,no,0230,21.5953333333333
1,1,1,no,0300,19.9793333333333
1,1,1,no,0330,17.6566666666667
1,1,1,no,0400,16.2666666666667
1,1,1,no,0430,15.218
1,1,1,no,0500,14.284
1,1,1,no,0530,13.84
1,1,1,no,0600,12.802
1,1,1,no,0630,11.7253333333333
1,1,1,no,0700,11.4086666666667
1,1,1,no,0730,11.3513333333333
1,1,1,no,0800,12.648
1,1,1,no,0830,14.372
1,1,1,no,0900,14.978
1,1,1,no,0930,15.264
1,1,1,no,1000,16.8693333333333
1,1,1,no,1030,18.8153333333333
1,1,1,no,1100,19.6886666666667
1,1,1,no,1130,20.16
1,1,1,no,1200,22.762
1,1,1,no,1230,26.1266666666667
1,1,1,no,1300,27.2986666666667
1,1,1,no,1330,27.544
1,1,1,no,1400,27.504
1,1,1,no,1430,27.384
1,1,1,no,1500,27.224
1,1,1,no,1530,27.002
1,1,1,no,1600,26.7646666666667
1,1,1,no,1630,26.506
1,1,1,no,1700,26.2626666666667
1,1,1,no,1730,26.1406666666667
1,1,1,no,1800,25.844
1,1,1,no,1830,25.4433333333333
1,1,1,no,1900,25.1293333333333
1,1,1,no,1930,25.0273333333333
1,1,1,no,2000,24.754
1,1,1,no,2030,24.4006666666667
1,1,1,no,2100,24.0193333333333
1,1,1,no,2130,23.6253333333333
1,1,1,no,2200,23.28
1,1,1,no,2230,23.0033333333333
1,1,1,no,2300,22.696
1,1,1,no,2330,22.4106666666667
1,1,2,no,0000,21.8273333333333
1,1,2,no,0030,21.7173333333333
1,1,2,no,0100,21.684
1,1,2,no,0130,21.6646666666667
1,1,2,no,0200,21.6473333333333
1,1,2,no,0230,20.0813333333333
1,1,2,no,0300,17.6673333333333
1,1,2,no,0330,16.198
1,1,2,no,0400,15.1633333333333
1,1,2,no,0430,14.2026666666667
1,1,2,no,0500,13.8126666666667
1,1,2,no,0530,12.88
1,1,2,no,0600,11.6466666666667
1,1,2,no,0630,11.2966666666667
1,1,2,no,0700,11.1933333333333
1,1,2,no,0730,12.4286666666667
1,1,2,no,0800,14.3333333333333
1,1,2,no,0830,15.0806666666667
1,1,2,no,0900,15.2913333333333
1,1,2,no,0930,16.764
1,1,2,no,1000,18.8893333333333
1,1,2,no,1030,19.8066666666667
1,1,2,no,1100,20.064
1,1,2,no,1130,22.5726666666667
1,1,2,no,1200,26.202
1,1,2,no,1230,27.5833333333333
1,1,2,no,1300,27.7066666666667
1,1,2,no,1330,27.65
1,1,2,no,1400,27.4986666666667
1,1,2,no,1430,27.3326666666667
1,1,2,no,1500,27.1186666666667
1,1,2,no,1530,26.86
1,1,2,no,1600,26.584
1,1,2,no,1630,26.312
1,1,2,no,1700,26.1673333333333
1,1,2,no,1730,25.898
1,1,2,no,1800,25.496
1,1,2,no,1830,25.1606666666667
1,1,2,no,1900,25.0806666666667
1,1,2,no,1930,24.826
1,1,2,no,2000,24.446
1,1,2,no,2030,24.0486666666667
1,1,2,no,2100,23.6686666666667
1,1,2,no,2130,23.3173333333333
1,1,2,no,2200,23.0373333333333
1,1,2,no,2230,22.732
1,1,2,no,2300,22.424
1,1,2,no,2330,22.122
1,1,calculated,no,0000,21.1
1,1,calculated,no,0130,19.1
1,1,calculated,no,0200,17.3
1,1,calculated,no,0300,15.6
1,1,calculated,no,0430,12.8
1,1,calculated,no,0600,10
